NODE_ID,geometry,LON,LAT,geom
,POINT (-122.2626 37.45503),,,POINT (-122.2626 37.45503)
,POINT (-122.43353 37.78749),,,POINT (-122.43353 37.78749000000001)
,POINT (-122.4319 37.7877),,,POINT (-122.4319 37.7877)
,POINT (-122.4352 37.78728),,,POINT (-122.4352 37.78728)
,POINT (-122.42279 37.64592),,,POINT (-122.42279 37.64592)
,POINT (-122.42322 37.64646),,,POINT (-122.42322 37.64646)
,POINT (-122.42631 37.64591),,,POINT (-122.42631 37.64591)
,POINT (-122.42367 37.64694),,,POINT (-122.42367 37.64694)
,POINT (-122.47331 37.70505),,,POINT (-122.47331 37.70505)
,POINT (-122.47342 37.70538),,,POINT (-122.47342 37.70538)
,POINT (-122.47428 37.70584),,,POINT (-122.47428 37.70584)
,POINT (-122.47595 37.70619),,,POINT (-122.47595 37.70619)
,POINT (-122.4799 37.70715),,,POINT (-122.4799 37.70715)
,POINT (-122.48288 37.70693),,,POINT (-122.48288 37.70693)
,POINT (-122.30561 37.52585),,,POINT (-122.30561 37.52585)
,POINT (-122.30595 37.5264),,,POINT (-122.30595 37.5264)
,POINT (-122.47295 37.70552),,,POINT (-122.47295 37.70552)
,POINT (-122.26986 37.48958),,,POINT (-122.26986 37.48958)
,POINT (-122.26847 37.48974),,,POINT (-122.26847 37.48974)
,POINT (-122.22976 37.48226),,,POINT (-122.22976 37.48226)
,POINT (-122.22895 37.48298),,,POINT (-122.22895 37.48298)
,POINT (-122.22824 37.4836),,,POINT (-122.22824 37.4836)
,POINT (-122.45943 37.70791),,,POINT (-122.45943 37.70791)
,POINT (-122.45999 37.70827),,,POINT (-122.45999 37.70827)
,POINT (-122.46118 37.70911),,,POINT (-122.46118 37.70911)
,POINT (-122.46201 37.70963),,,POINT (-122.46201 37.70963)
,POINT (-122.27706 37.53673),,,POINT (-122.27706 37.53673)
,POINT (-122.27614 37.53771),,,POINT (-122.27614 37.53771)
,POINT (-122.27536 37.53908),,,POINT (-122.27536 37.53908)
,POINT (-122.27508 37.53976),,,POINT (-122.27508 37.53976)
,POINT (-122.19846 37.45918),,,POINT (-122.19846 37.45918)
,POINT (-122.19858 37.46125),,,POINT (-122.19858 37.46125)
,POINT (-122.19736 37.45864),,,POINT (-122.19736 37.45864)
,POINT (-122.34775 37.58462),,,POINT (-122.34775 37.58462)
,POINT (-122.34851 37.58512),,,POINT (-122.34851 37.58512)
,POINT (-122.34988 37.586),,,POINT (-122.34988 37.586)
,POINT (-122.35036 37.58689),,,POINT (-122.35036 37.58689)
,POINT (-122.34932 37.58628),,,POINT (-122.34932 37.58628)
,POINT (-122.34931 37.58687),,,POINT (-122.34931 37.58687)
,POINT (-122.4517 37.70698),,,POINT (-122.4517 37.70698)
,POINT (-122.44953 37.70772),,,POINT (-122.44953 37.70772)
,POINT (-122.45399 37.70603),,,POINT (-122.45399 37.70603)
,POINT (-122.45315 37.70645),,,POINT (-122.45315 37.70645)
,POINT (-122.45566 37.70546),,,POINT (-122.45566 37.70546)
,POINT (-122.45776 37.70476),,,POINT (-122.45776 37.70476)
,POINT (-122.45914 37.70432),,,POINT (-122.45914 37.70432)
,POINT (-122.35872 37.53762),,,POINT (-122.35872 37.53762)
,POINT (-122.35817 37.53796),,,POINT (-122.35817 37.53796)
,POINT (-122.35993 37.53732),,,POINT (-122.35993 37.53732)
,POINT (-122.36106 37.53699),,,POINT (-122.36106 37.53699)
,POINT (-122.3616 37.53682),,,POINT (-122.3616 37.53682)
,POINT (-122.16153 37.47008),,,POINT (-122.16153 37.47008)
,POINT (-122.16068 37.47175),,,POINT (-122.16068 37.47175)
,POINT (-122.15851 37.47603),,,POINT (-122.15851 37.47603)
,POINT (-122.15685 37.47925),,,POINT (-122.15685 37.47925)
,POINT (-122.1565 37.47995),,,POINT (-122.1565 37.47995)
,POINT (-122.2775 37.49513),,,POINT (-122.2775 37.49513)
,POINT (-122.27735 37.49537),,,POINT (-122.27735 37.49537)
,POINT (-122.25182 37.41659),,,POINT (-122.25182 37.41659)
,POINT (-122.25111 37.42114),,,POINT (-122.25111 37.42114)
,POINT (-122.27988 37.49392),,,POINT (-122.27988 37.49392)
,POINT (-122.27984 37.49769),,,POINT (-122.27984 37.49769000000001)
,POINT (-122.28017 37.4978),,,POINT (-122.28017 37.4978)
,POINT (-122.44431 37.62378),,,POINT (-122.44431 37.62378)
,POINT (-122.44393 37.6242),,,POINT (-122.44393 37.6242)
,POINT (-122.36007 37.57698),,,POINT (-122.36007 37.57698)
,POINT (-122.28023 37.49913),,,POINT (-122.28023 37.49913)
